Date: 2025-08-14, Hour: 09:00, Room: Living Room, Sensor: Temperature Sensor, Value: 21.49°C, Status: High Temperature
Date: 2025-08-14, Hour: 18:15, Room: Living Room, Sensor: Temperature Sensor, Value: 24.24°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 26.18°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.77°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:15, Room: Living Room, Sensor: Humidity Sensor, Value: %74.6, Status: High Humidity
Date: 2025-08-14, Hour: 18:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %68.61, Status: High Humidity
Date: 2025-08-14, Hour: 18:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %71.1, Status: High Humidity
Date: 2025-08-14, Hour: 18:20, Room: Living Room, Sensor: Temperature Sensor, Value: 25.24°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.94°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.28°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:20, Room: Living Room, Sensor: Humidity Sensor, Value: %69.92, Status: High Humidity
Date: 2025-08-14, Hour: 18:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %69.22, Status: High Humidity
Date: 2025-08-14, Hour: 18:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %74.53, Status: High Humidity
Date: 2025-08-14, Hour: 18:25, Room: Living Room, Sensor: Temperature Sensor, Value: 25.2°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.99°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:25, Room: Living Room, Sensor: Humidity Sensor, Value: %68.91, Status: High Humidity
Date: 2025-08-14, Hour: 18:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %70.62, Status: High Humidity
Date: 2025-08-14, Hour: 18:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %70.36, Status: High Humidity
Date: 2025-08-14, Hour: 18:30, Room: Living Room, Sensor: Temperature Sensor, Value: 24.33°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 25.57°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.33°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:30, Room: Living Room, Sensor: Humidity Sensor, Value: %71.16, Status: High Humidity
Date: 2025-08-14, Hour: 18:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %69.23, Status: High Humidity
Date: 2025-08-14, Hour: 18:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %74.67, Status: High Humidity
Date: 2025-08-14, Hour: 18:35, Room: Living Room, Sensor: Temperature Sensor, Value: 25.57°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.97°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.05°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:35, Room: Living Room, Sensor: Humidity Sensor, Value: %73.82, Status: High Humidity
Date: 2025-08-14, Hour: 18:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %74.76, Status: High Humidity
Date: 2025-08-14, Hour: 18:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %71.78, Status: High Humidity
Date: 2025-08-14, Hour: 18:40, Room: Living Room, Sensor: Temperature Sensor, Value: 24.36°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 26.06°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:40, Room: Living Room, Sensor: Humidity Sensor, Value: %72.76, Status: High Humidity
Date: 2025-08-14, Hour: 18:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %70.54, Status: High Humidity
Date: 2025-08-14, Hour: 18:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %68.91, Status: High Humidity
Date: 2025-08-14, Hour: 18:45, Room: Living Room, Sensor: Temperature Sensor, Value: 24.54°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.9°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.63°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:45, Room: Living Room, Sensor: Humidity Sensor, Value: %71.69, Status: High Humidity
Date: 2025-08-14, Hour: 18:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %68.9, Status: High Humidity
Date: 2025-08-14, Hour: 18:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %68.78, Status: High Humidity
Date: 2025-08-14, Hour: 18:50, Room: Living Room, Sensor: Temperature Sensor, Value: 25.49°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 26.25°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 26.08°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:50, Room: Living Room, Sensor: Humidity Sensor, Value: %72.62, Status: High Humidity
Date: 2025-08-14, Hour: 18:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %71.38, Status: High Humidity
Date: 2025-08-14, Hour: 18:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %70.11, Status: High Humidity
Date: 2025-08-14, Hour: 18:55, Room: Living Room, Sensor: Temperature Sensor, Value: 25.34°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.27°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.35°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 18:55, Room: Living Room, Sensor: Humidity Sensor, Value: %70.43, Status: High Humidity
Date: 2025-08-14, Hour: 18:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %70.25, Status: High Humidity
Date: 2025-08-14, Hour: 18:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %72.25, Status: High Humidity
Date: 2025-08-14, Hour: 19:00, Room: Living Room, Sensor: Temperature Sensor, Value: 22.91°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.76°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.38°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:00, Room: Living Room, Sensor: Humidity Sensor, Value: %64.74, Status: High Humidity
Date: 2025-08-14, Hour: 19:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %65.22, Status: High Humidity
Date: 2025-08-14, Hour: 19:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.15, Status: High Humidity
Date: 2025-08-14, Hour: 19:05, Room: Living Room, Sensor: Temperature Sensor, Value: 24.28°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.65°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.99°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:05, Room: Living Room, Sensor: Humidity Sensor, Value: %67.25, Status: High Humidity
Date: 2025-08-14, Hour: 19:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.4, Status: High Humidity
Date: 2025-08-14, Hour: 19:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %62.19, Status: High Humidity
Date: 2025-08-14, Hour: 19:10, Room: Living Room, Sensor: Temperature Sensor, Value: 23.1°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.5°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.63°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:10, Room: Living Room, Sensor: Humidity Sensor, Value: %62.87, Status: High Humidity
Date: 2025-08-14, Hour: 19:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %64.95, Status: High Humidity
Date: 2025-08-14, Hour: 19:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %64.62, Status: High Humidity
Date: 2025-08-14, Hour: 19:15, Room: Living Room, Sensor: Temperature Sensor, Value: 23.92°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.84°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.55°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:15, Room: Living Room, Sensor: Humidity Sensor, Value: %64.68, Status: High Humidity
Date: 2025-08-14, Hour: 19:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.02, Status: High Humidity
Date: 2025-08-14, Hour: 19:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %65.29, Status: High Humidity
Date: 2025-08-14, Hour: 19:20, Room: Living Room, Sensor: Temperature Sensor, Value: 23.9°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.46°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.3°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:20, Room: Living Room, Sensor: Humidity Sensor, Value: %64.33, Status: High Humidity
Date: 2025-08-14, Hour: 19:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.84, Status: High Humidity
Date: 2025-08-14, Hour: 19:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %63.7, Status: High Humidity
Date: 2025-08-14, Hour: 19:25, Room: Living Room, Sensor: Temperature Sensor, Value: 24.79°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.74°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.5°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:25, Room: Living Room, Sensor: Humidity Sensor, Value: %66.04, Status: High Humidity
Date: 2025-08-14, Hour: 19:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.23, Status: High Humidity
Date: 2025-08-14, Hour: 19:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.86, Status: High Humidity
Date: 2025-08-14, Hour: 19:30, Room: Living Room, Sensor: Temperature Sensor, Value: 25.15°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.55°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.6°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:30, Room: Living Room, Sensor: Humidity Sensor, Value: %66.22, Status: High Humidity
Date: 2025-08-14, Hour: 19:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.9, Status: High Humidity
Date: 2025-08-14, Hour: 19:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.78, Status: High Humidity
Date: 2025-08-14, Hour: 19:35, Room: Living Room, Sensor: Temperature Sensor, Value: 23.34°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.77°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.72°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:35, Room: Living Room, Sensor: Humidity Sensor, Value: %64.94, Status: High Humidity
Date: 2025-08-14, Hour: 19:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %64.37, Status: High Humidity
Date: 2025-08-14, Hour: 19:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %64.11, Status: High Humidity
Date: 2025-08-14, Hour: 19:40, Room: Living Room, Sensor: Temperature Sensor, Value: 23.9°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 24.48°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.95°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:40, Room: Living Room, Sensor: Humidity Sensor, Value: %64.27, Status: High Humidity
Date: 2025-08-14, Hour: 19:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %62.83, Status: High Humidity
Date: 2025-08-14, Hour: 19:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %64.41, Status: High Humidity
Date: 2025-08-14, Hour: 19:45, Room: Living Room, Sensor: Temperature Sensor, Value: 23.04°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.79°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.08°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:45, Room: Living Room, Sensor: Humidity Sensor, Value: %65.75, Status: High Humidity
Date: 2025-08-14, Hour: 19:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %67.67, Status: High Humidity
Date: 2025-08-14, Hour: 19:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.31, Status: High Humidity
Date: 2025-08-14, Hour: 19:50, Room: Living Room, Sensor: Temperature Sensor, Value: 24.05°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.7°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 24.83°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:50, Room: Living Room, Sensor: Humidity Sensor, Value: %64.94, Status: High Humidity
Date: 2025-08-14, Hour: 19:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %68.08, Status: High Humidity
Date: 2025-08-14, Hour: 19:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %65.46, Status: High Humidity
Date: 2025-08-14, Hour: 19:55, Room: Living Room, Sensor: Temperature Sensor, Value: 23.58°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.7°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 25.0°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 19:55, Room: Living Room, Sensor: Humidity Sensor, Value: %65.05, Status: High Humidity
Date: 2025-08-14, Hour: 19:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %63.2, Status: High Humidity
Date: 2025-08-14, Hour: 19:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %66.63, Status: High Humidity
Date: 2025-08-14, Hour: 20:00, Room: Living Room, Sensor: Temperature Sensor, Value: 21.74°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.99°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.9°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:00, Room: Living Room, Sensor: Humidity Sensor, Value: %59.78, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.64, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.4, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:05, Room: Living Room, Sensor: Temperature Sensor, Value: 22.6°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.26°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.6°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:05, Room: Living Room, Sensor: Humidity Sensor, Value: %60.13, Status: High Humidity
Date: 2025-08-14, Hour: 20:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.18, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.27, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:10, Room: Living Room, Sensor: Temperature Sensor, Value: 23.39°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.45°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.26°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:10, Room: Living Room, Sensor: Humidity Sensor, Value: %56.55, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %56.88, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.35, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:15, Room: Living Room, Sensor: Temperature Sensor, Value: 22.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 23.14°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.47°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:15, Room: Living Room, Sensor: Humidity Sensor, Value: %57.0, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %58.71, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %54.95, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:20, Room: Living Room, Sensor: Temperature Sensor, Value: 22.14°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.64°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.1°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:20, Room: Living Room, Sensor: Humidity Sensor, Value: %59.71, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:20, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.82, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:20, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.18, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:25, Room: Living Room, Sensor: Temperature Sensor, Value: 22.75°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:25, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.96°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:25, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.58°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:25, Room: Living Room, Sensor: Humidity Sensor, Value: %56.19, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:25, Room: Kitchen, Sensor: Humidity Sensor, Value: %60.51, Status: High Humidity
Date: 2025-08-14, Hour: 20:25, Room: Bedroom, Sensor: Humidity Sensor, Value: %57.1, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:30, Room: Living Room, Sensor: Temperature Sensor, Value: 23.57°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:30, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.8°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:30, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.27°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:30, Room: Living Room, Sensor: Humidity Sensor, Value: %55.13, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:30, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.59, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:30, Room: Bedroom, Sensor: Humidity Sensor, Value: %58.96, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:35, Room: Living Room, Sensor: Temperature Sensor, Value: 22.15°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:35, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.37°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:35, Room: Bedroom, Sensor: Temperature Sensor, Value: 22.55°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:35, Room: Living Room, Sensor: Humidity Sensor, Value: %55.0, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:35, Room: Kitchen, Sensor: Humidity Sensor, Value: %59.75, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:35, Room: Bedroom, Sensor: Humidity Sensor, Value: %60.36, Status: High Humidity
Date: 2025-08-14, Hour: 20:40, Room: Living Room, Sensor: Temperature Sensor, Value: 22.35°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:40, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.2°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:40, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.33°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:40, Room: Living Room, Sensor: Humidity Sensor, Value: %56.45, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:40, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.43, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:40, Room: Bedroom, Sensor: Humidity Sensor, Value: %58.29, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:45, Room: Living Room, Sensor: Temperature Sensor, Value: 21.66°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:45, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.22°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:45, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.13°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:45, Room: Living Room, Sensor: Humidity Sensor, Value: %57.42, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:45, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.9, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:45, Room: Bedroom, Sensor: Humidity Sensor, Value: %57.32, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:50, Room: Living Room, Sensor: Temperature Sensor, Value: 23.36°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:50, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.18°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:50, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.81°C, Status: High Temperature
Date: 2025-08-14, Hour: 20:50, Room: Living Room, Sensor: Humidity Sensor, Value: %56.0, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:50, Room: Kitchen, Sensor: Humidity Sensor, Value: %55.68, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:50, Room: Bedroom, Sensor: Humidity Sensor, Value: %59.13, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:55, Room: Living Room, Sensor: Temperature Sensor, Value: 22.74°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:55, Room: Kitchen, Sensor: Temperature Sensor, Value: 22.6°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:55, Room: Bedroom, Sensor: Temperature Sensor, Value: 23.2°C, Status: Normal Temperature
Date: 2025-08-14, Hour: 20:55, Room: Living Room, Sensor: Humidity Sensor, Value: %55.45, Status: Normal Humidity
Date: 2025-08-14, Hour: 20:55, Room: Kitchen, Sensor: Humidity Sensor, Value: %60.18, Status: High Humidity
Date: 2025-08-14, Hour: 20:55, Room: Bedroom, Sensor: Humidity Sensor, Value: %55.54, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:00, Room: Living Room, Sensor: Temperature Sensor, Value: 21.3°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:00, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.73°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:00, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.52°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:00, Room: Living Room, Sensor: Humidity Sensor, Value: %47.79, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:00, Room: Kitchen, Sensor: Humidity Sensor, Value: %50.76, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:00, Room: Bedroom, Sensor: Humidity Sensor, Value: %51.3, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:05, Room: Living Room, Sensor: Temperature Sensor, Value: 20.72°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:05, Room: Kitchen, Sensor: Temperature Sensor, Value: 20.68°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:05, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.93°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:05, Room: Living Room, Sensor: Humidity Sensor, Value: %49.77, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:05, Room: Kitchen, Sensor: Humidity Sensor, Value: %49.25, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:05, Room: Bedroom, Sensor: Humidity Sensor, Value: %52.11, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:10, Room: Living Room, Sensor: Temperature Sensor, Value: 21.77°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:10, Room: Kitchen, Sensor: Temperature Sensor, Value: 20.29°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:10, Room: Bedroom, Sensor: Temperature Sensor, Value: 21.85°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:10, Room: Living Room, Sensor: Humidity Sensor, Value: %47.53, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:10, Room: Kitchen, Sensor: Humidity Sensor, Value: %49.31, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:10, Room: Bedroom, Sensor: Humidity Sensor, Value: %49.72, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:15, Room: Living Room, Sensor: Temperature Sensor, Value: 21.86°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:15, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.47°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:15, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.69°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:15, Room: Living Room, Sensor: Humidity Sensor, Value: %51.39, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:15, Room: Kitchen, Sensor: Humidity Sensor, Value: %50.96, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:15, Room: Bedroom, Sensor: Humidity Sensor, Value: %50.51, Status: Normal Humidity
Date: 2025-08-14, Hour: 21:20, Room: Living Room, Sensor: Temperature Sensor, Value: 21.65°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:20, Room: Kitchen, Sensor: Temperature Sensor, Value: 21.16°C, Status: High Temperature
Date: 2025-08-14, Hour: 21:20, Room: Bedroom, Sensor: Temperature Sensor, Value: 20.7°C, Status: High Temperature
